Target device: xilinx_u250_gen3x16_base_4-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
130.412,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
151.344,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
172.042,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
192.739,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
213.862,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
234.552,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
255.22,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
275.894,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
296.569,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
317.232,520,12236,961,12229,4980,851,0,3373,0,28,0,0,25,25,26,25,28,27,0,27,26,27,36,1119,
